SensorId;SensorName;Row;Date;Time;%RH;Temp;WME
Protimeter_a300c757;KällarväggSyd ;1;6/2/2025;8:31:16 PM;44,4;22,2;0
Protimeter_a300c757;KällarväggSyd ;2;6/2/2025;8:36:20 PM;44,6;22,1;0
Protimeter_a300c757;KällarväggSyd ;3;6/2/2025;8:37:12 PM;44,7;22,2;0
Protimeter_a300c757;KällarväggSyd ;4;6/3/2025;8:37:19 AM;43,1;22,2;0
Protimeter_a300c757;KällarväggSyd ;5;6/3/2025;8:37:25 PM;38,8;22,2;0
Protimeter_a300c757;KällarväggSyd ;6;6/4/2025;5:11:18 AM;45,2;22,5;0
Protimeter_a300c757;KällarväggSyd ;7;6/4/2025;5:16:22 AM;45;22,7;0
Protimeter_a300c757;KällarväggSyd ;8;6/4/2025;5:21:27 AM;45,1;22,8;0
Protimeter_a300c757;KällarväggSyd ;9;6/4/2025;5:22:37 AM;45,3;22,8;0
Protimeter_a300c757;KällarväggSyd ;10;6/5/2025;5:22:47 AM;46,3;23,1;0
Protimeter_a300c757;KällarväggSyd ;11;6/6/2025;5:22:57 AM;45,7;24,2;0
Protimeter_a300c757;KällarväggSyd ;12;6/7/2025;5:23:06 AM;43,9;20,1;0
Protimeter_a300c757;KällarväggSyd ;13;6/7/2025;8:56:42 AM;56,5;19,5;19,9
Protimeter_a300c757;KällarväggSyd ;14;6/7/2025;9:01:47 AM;58,4;18;20
Protimeter_a300c757;KällarväggSyd ;15;6/7/2025;9:06:51 AM;60,1;16,9;19,6
Protimeter_a300c757;KällarväggSyd ;16;6/7/2025;9:08:01 AM;60,4;16,6;19,5
Protimeter_a300c757;KällarväggSyd ;17;6/8/2025;9:08:10 AM;88,1;9,5;18,7
Protimeter_a300c757;KällarväggSyd ;18;6/9/2025;9:08:19 AM;89,8;9,3;18,9
Protimeter_a300c757;KällarväggSyd ;19;6/10/2025;9:08:29 AM;91;9,2;18,8
Protimeter_a300c757;KällarväggSyd ;20;6/11/2025;9:08:38 AM;91,8;9,1;18,8
